computer_data,aspect_sentiment,review,aspects,sentiment_score,sentiment
## Flying first class at tourist rates .,, Flying first class at tourist rates .,,0,neutral
## Ken Monzingo,, Ken Monzingo,,0,neutral
## WOW !!!!,, WOW !!!!,,0,neutral
"sleek[+1][a], monitor[+1] ## This sleek looking monitor is absolutely awesome !!","sleek[+1][a], monitor[+1] ", This sleek looking monitor is absolutely awesome !!,"sleek, monitor ",1,positive
## Everything appears larger than life !!!,, Everything appears larger than life !!!,,0,neutral
"product[+1], unbox[+1][v], install[+1][v] ## This Wonderful product was easy to unbox and install !!","product[+1], unbox[+1][v], install[+1][v] ", This Wonderful product was easy to unbox and install !!,"product, unbox, install ",1,positive
"ACER widescreen[+1], ULTRA Slim monitor[+1] ## Thuumbs up to ACER widescreen ULTRA Slim monitor .","ACER widescreen[+1], ULTRA Slim monitor[+1] ", Thuumbs up to ACER widescreen ULTRA Slim monitor .,"ACER widescreen, ULTRA Slim monitor ",1,positive
## We use these monitors in the office .,, We use these monitors in the office .,,0,neutral
"## Well , other people do - I use a Dell 20 '' LCD .",," Well , other people do - I use a Dell 20 '' LCD .",,0,neutral
"video cable[+1], fit into the socket[-1][v] ## First gripe : I set up a lot of these puppies , and the video cable does n't always fit into the socket on the underside of the monitor .","video cable[+1], fit into the socket[-1][v] "," First gripe : I set up a lot of these puppies , and the video cable does n't always fit into the socket on the underside of the monitor .","video cable, fit into the socket ",1,positive
## It 's because of the way the port lines up -LRB- or does n't -RRB- with the plastic of the case .,, It 's because of the way the port lines up -LRB- or does n't -RRB- with the plastic of the case .,,0,neutral
"## To get the cables in , I had to nick bits of the plastic casing on the end of the cable -LRB- and these are the cables that ship in the box with the monitors ! -RRB-",," To get the cables in , I had to nick bits of the plastic casing on the end of the cable -LRB- and these are the cables that ship in the box with the monitors ! -RRB-",,0,neutral
"display[+1], price[+1] ## Other then that it is a fantastic display for the price .","display[+1], price[+1] ", Other then that it is a fantastic display for the price .,"display, price ",1,positive
"monitors[-1] ## Second gripe : In the 6 or so months since we purchased our batch of 30-40 of these monitors , 2 have already been returned for repair or replacement .",monitors[-1] ," Second gripe : In the 6 or so months since we purchased our batch of 30-40 of these monitors , 2 have already been returned for repair or replacement .",monitors ,-1,negative
## That 's at least a 5 % failure rate .,, That 's at least a 5 % failure rate .,,0,neutral
## Not good .,, Not good .,,0,neutral
monitors[-1] ## Third gripe : These monitors can suffer from the LCD equivalent of screen burn - `` image persistence '' if you like .,monitors[-1] , Third gripe : These monitors can suffer from the LCD equivalent of screen burn - `` image persistence '' if you like .,monitors ,-1,negative
"## If you leave an image on the screen long enough , a ghost of that image will persist into the LCD even after you switch the monitor off and on again .",," If you leave an image on the screen long enough , a ghost of that image will persist into the LCD even after you switch the monitor off and on again .",,0,neutral
## The image \* will \* go away if you either leave the monitor off for a while or leave a white area of a window under that part of the screen - but it takes time .,, The image \* will \* go away if you either leave the monitor off for a while or leave a white area of a window under that part of the screen - but it takes time .,,0,neutral
## I 'm happy with my Dell .,, I 'm happy with my Dell .,,0,neutral
display[+1] ## I have n't really need any since the display have proven to be very intelligent when resizing different screen res 's and I can use the ATI drivers to adjust things like color temp and gamma .,display[+1] , I have n't really need any since the display have proven to be very intelligent when resizing different screen res 's and I can use the ATI drivers to adjust things like color temp and gamma .,display ,1,positive
## I would n't touch one of these Acers !,, I would n't touch one of these Acers !,,0,neutral
## For the money you ca n't beat it .,, For the money you ca n't beat it .,,0,neutral
## Dell 's similar monitor is over $ 300 .,, Dell 's similar monitor is over $ 300 .,,0,neutral
## Sure more options but for me it serves my needs totally .,, Sure more options but for me it serves my needs totally .,,0,neutral
bright[-1][a] ## In fact others say not bright enough ?,bright[-1][a] , In fact others say not bright enough ?,bright ,-1,negative
bright[-1][a] ## I find it too bright .,bright[-1][a] , I find it too bright .,bright ,-1,negative
## Retired and not a computer geek .,, Retired and not a computer geek .,,0,neutral
quality[+1] ## For me its perfect and the quality for games and word docs is more than acceptable .,quality[+1] , For me its perfect and the quality for games and word docs is more than acceptable .,quality ,1,positive
## Would definately recommend it .,, Would definately recommend it .,,0,neutral
"widescreen monitors[-1] ## Besides , I hate widescreen monitors !!!!",widescreen monitors[-1] ," Besides , I hate widescreen monitors !!!!",widescreen monitors ,-1,negative
## Also one review said it does n't tilt ?,, Also one review said it does n't tilt ?,,0,neutral
## It certainly does .,, It certainly does .,,0,neutral
faster[+1][a] ## Much faster than my previous Acer One Netbook with single processor .,faster[+1][a] , Much faster than my previous Acer One Netbook with single processor .,faster ,1,positive
Battery[+1] ## Battery last longer too .,Battery[+1] , Battery last longer too .,Battery ,1,positive
## I 'm very happy with the purchase .,, I 'm very happy with the purchase .,,0,neutral
## Highly recommended .,, Highly recommended .,,0,neutral
"## Amazon delivery is very efficient and on time , as always .",," Amazon delivery is very efficient and on time , as always .",,0,neutral
price[+1] ## Purchased this item because of reviews and price .,price[+1] , Purchased this item because of reviews and price .,price ,1,positive
"Netbook[+1], Customer service[-1] ## The Netbook is great and rates 5 stars EXCEPT -- Customer service is useless .","Netbook[+1], Customer service[-1] ", The Netbook is great and rates 5 stars EXCEPT -- Customer service is useless .,"Netbook, Customer service ",1,positive
## Shunted to 4 different `` techs '' with language problems and no knowledge only to be told that a question on a Brand New Printer can only be answered by paying $ 38 per call .,, Shunted to 4 different `` techs '' with language problems and no knowledge only to be told that a question on a Brand New Printer can only be answered by paying $ 38 per call .,,0,neutral
"monitor[+1], price[+1], picture[+1] ## excellent , very good monitor to rest the price is pretty good , I recommendt he picture is sharp and in perfect condition came to Venezuela","monitor[+1], price[+1], picture[+1] "," excellent , very good monitor to rest the price is pretty good , I recommendt he picture is sharp and in perfect condition came to Venezuela","monitor, price, picture ",1,positive
Fits[+1][v] ## Fits nicely on the small desk we use in our computer room .,Fits[+1][v] , Fits nicely on the small desk we use in our computer room .,Fits ,1,positive
"distort[+1][v], video[+1], pictures[+1] ## It does not distort ; video and pictures look great .","distort[+1][v], video[+1], pictures[+1] ", It does not distort ; video and pictures look great .,"distort, video, pictures ",1,positive
Acer products[+1] ## We like Acer products and this one does n't disappoint .,Acer products[+1] , We like Acer products and this one does n't disappoint .,Acer products ,1,positive
"monitor[+1], Size[+1], looking[+1], 3d[+1] ## Hi , I just got this , and let me tell you is an awsome monitor , Size , looking and 3d is awsome good with this LCD .","monitor[+1], Size[+1], looking[+1], 3d[+1] "," Hi , I just got this , and let me tell you is an awsome monitor , Size , looking and 3d is awsome good with this LCD .","monitor, Size, looking, 3d ",1,positive
"## Sadly mine came with 2 Pixels dead , one always is green and the other one is black , I read warranty and says it have to be more than 4 pixels IN THE SAME PLACE to become a valid warranty claim .",," Sadly mine came with 2 Pixels dead , one always is green and the other one is black , I read warranty and says it have to be more than 4 pixels IN THE SAME PLACE to become a valid warranty claim .",,0,neutral
"## Ok this is not a big issue anyway , 2 dots dont make a huge diferences , they are just annoying .",," Ok this is not a big issue anyway , 2 dots dont make a huge diferences , they are just annoying .",,0,neutral
"monitor[-1] ## 2 weeks later , The monitor start having other issues , only half screen turns on , or it become a full green screen and doesnt change , you need to turn it off and on again until it works .",monitor[-1] ," 2 weeks later , The monitor start having other issues , only half screen turns on , or it become a full green screen and doesnt change , you need to turn it off and on again until it works .",monitor ,-1,negative
## Im starting the warranty process to see what happens at the end They told me it was normal since this LCD 's are 120Hz you need to let them warm up sometimes is what they told me .,, Im starting the warranty process to see what happens at the end They told me it was normal since this LCD 's are 120Hz you need to let them warm up sometimes is what they told me .,,0,neutral
## I hope this dont ends in a square pieces of garbage broken and unable to claim to anyone .,, I hope this dont ends in a square pieces of garbage broken and unable to claim to anyone .,,0,neutral
"## If this issues still being fixed by turning off and on the monitor , I guess I can deal with it , but I didnt paid the amount of money this babies cost to deal with this ... Shouldnt be that way .",," If this issues still being fixed by turning off and on the monitor , I guess I can deal with it , but I didnt paid the amount of money this babies cost to deal with this ... Shouldnt be that way .",,0,neutral
## Im gladly open to any help you can give me .,, Im gladly open to any help you can give me .,,0,neutral
"## After opening the computer for the first time , I notice any javascript links would not work on internet explorer .",," After opening the computer for the first time , I notice any javascript links would not work on internet explorer .",,0,neutral
## The default settings were turned on .,, The default settings were turned on .,,0,neutral
## I contacted Acer support and they wanted $ 100 to fix the preinstalled internet explorer issues that I was setup with .,, I contacted Acer support and they wanted $ 100 to fix the preinstalled internet explorer issues that I was setup with .,,0,neutral
"## Because it is not a hardware issue , they will not help you unless you pay them .",," Because it is not a hardware issue , they will not help you unless you pay them .",,0,neutral
## After searching the internet for hours and trying countless options I downloaded Firefox to get my internet operational .,, After searching the internet for hours and trying countless options I downloaded Firefox to get my internet operational .,,0,neutral
Acer[-1] ## I was dissapointed that Acer was n't more helpful .,Acer[-1] , I was dissapointed that Acer was n't more helpful .,Acer ,-1,negative
## I talked to a manager and explained that I had not modified any preset items and they still could not waive the cpu support fee despite the cpu being brand new .,, I talked to a manager and explained that I had not modified any preset items and they still could not waive the cpu support fee despite the cpu being brand new .,,0,neutral
## I would rather hire a local tech support company than pay $ 100 to fix a brand new software issue on a $ 375 computer ... Besides that it seems to be working fine now .,, I would rather hire a local tech support company than pay $ 100 to fix a brand new software issue on a $ 375 computer ... Besides that it seems to be working fine now .,,0,neutral
compact[+1][a] ## Nice and compact .,compact[+1][a] , Nice and compact .,compact ,1,positive
"Acer Netbook Aspire One[+1], computer[+1], pretty[+1][a], quality[+1], quiet[+1][a], heated[+1][a], keyboard[+1], laid out[+1], screen functions[+1] ## After much delay I received my Acer Netbook Aspire One and I can teell you I am very satisfied with this computer , is very pretty , well finished , high quality , so quiet , not heated than other netbook or at least I think it is within in normal ranges , the keyboard is very smooth and very well laid out , the screen functions are very practical in a nutshell is an excellent buy and I am very pleased with the purchase , I recommend it .","Acer Netbook Aspire One[+1], computer[+1], pretty[+1][a], quality[+1], quiet[+1][a], heated[+1][a], keyboard[+1], laid out[+1], screen functions[+1] "," After much delay I received my Acer Netbook Aspire One and I can teell you I am very satisfied with this computer , is very pretty , well finished , high quality , so quiet , not heated than other netbook or at least I think it is within in normal ranges , the keyboard is very smooth and very well laid out , the screen functions are very practical in a nutshell is an excellent buy and I am very pleased with the purchase , I recommend it .","Acer Netbook Aspire One, computer, pretty, quality, quiet, heated, keyboard, laid out, screen functions ",1,positive
laptop[+1] ## its definately an outstanding laptop .,laptop[+1] , its definately an outstanding laptop .,laptop ,1,positive
"expensive[+1][a], design[+1] ## it 's far from expensive for the specifications but there is a lot more than in there ... i like it so much ... its nicely designed for the portable user and I like the Ferrari design on it .","expensive[+1][a], design[+1] ", it 's far from expensive for the specifications but there is a lot more than in there ... i like it so much ... its nicely designed for the portable user and I like the Ferrari design on it .,"expensive, design ",1,positive
color[+1] ## The color is red and is so attractive !!,color[+1] , The color is red and is so attractive !!,color ,1,positive
weight[-1] ## <p> It 's not lite on weight ... so sad ... I definately recommend it to anyone out there .,weight[-1] , <p> It 's not lite on weight ... so sad ... I definately recommend it to anyone out there .,weight ,-1,negative
## It is wonderful !,, It is wonderful !,,0,neutral
"images[+1] ## Sharp , crisp images .",images[+1] ," Sharp , crisp images .",images ,1,positive
## The is the essence of more bang for your buck !,, The is the essence of more bang for your buck !,,0,neutral
## No issues .,, No issues .,,0,neutral
Delivery[+1] ## Delivery was prompt .,Delivery[+1] , Delivery was prompt .,Delivery ,1,positive
"Monitor[+1], set up[+1][v] ## Monitor was easy to set up and works as promised with my newly acquired NVIDIA glasses .","Monitor[+1], set up[+1][v] ", Monitor was easy to set up and works as promised with my newly acquired NVIDIA glasses .,"Monitor, set up ",1,positive
"increased memory option[+1] ## The operation with the increased memory option was flawless with the Windows 7 Home Professional instaled otherwise other netbooks with Windows 7 Starter doesnt allow , and nobody mention this .",increased memory option[+1] ," The operation with the increased memory option was flawless with the Windows 7 Home Professional instaled otherwise other netbooks with Windows 7 Starter doesnt allow , and nobody mention this .",increased memory option ,1,positive
"size[+1] ## This is a plus with this netbook , the increased size of 1.6 inches means better and clear view of webpages and woks made in Office .",size[+1] ," This is a plus with this netbook , the increased size of 1.6 inches means better and clear view of webpages and woks made in Office .",size ,1,positive
"monitor[+1], speakers[+1] ## This is a very nice monitor , matte black and built-in speakers .","monitor[+1], speakers[+1] "," This is a very nice monitor , matte black and built-in speakers .","monitor, speakers ",1,positive
image[+1] ## Sharp image .,image[+1] , Sharp image .,image ,1,positive
small[+1][a] ## Relatively small desktop footprint too .,small[+1][a] , Relatively small desktop footprint too .,small ,1,positive
delivery[+1] ## VERY fast delivery .,delivery[+1] , VERY fast delivery .,delivery ,1,positive
price[+1] ## Ca n't beat it for the price .,price[+1] , Ca n't beat it for the price .,price ,1,positive
## I am an extremely experienced computer user .,, I am an extremely experienced computer user .,,0,neutral
"## In my home I have two servers , five desktop computers , and six different monitors .",," In my home I have two servers , five desktop computers , and six different monitors .",,0,neutral
## I spend 8-12 hours a day on a computer and often have eyestrain by the end of the night .,, I spend 8-12 hours a day on a computer and often have eyestrain by the end of the night .,,0,neutral
## As a result I am always looking for a better monitor .,, As a result I am always looking for a better monitor .,,0,neutral
LED monitor[+1] ## This LED monitor is fantastic !!!,LED monitor[+1] , This LED monitor is fantastic !!!,LED monitor ,1,positive
## I bought mine a few months ago and after just a week I noticed that my eyes felt better at night .,, I bought mine a few months ago and after just a week I noticed that my eyes felt better at night .,,0,neutral
Image[+1] ## Image clarity is great -LRB- I do a lot of work in PhotoShop with 18MB RAW image files and noticed the difference immediately -RRB- .,Image[+1] , Image clarity is great -LRB- I do a lot of work in PhotoShop with 18MB RAW image files and noticed the difference immediately -RRB- .,Image ,1,positive
## I also see a difference when surfing the web or using Microsoft Office applications .,, I also see a difference when surfing the web or using Microsoft Office applications .,,0,neutral
## All my future monitors will be LED .,, All my future monitors will be LED .,,0,neutral
## This unit replaced a broken display on a server with limited space .,, This unit replaced a broken display on a server with limited space .,,0,neutral
worked[+1][v] ## It worked great and we just pluged it in .,worked[+1][v] , It worked great and we just pluged it in .,worked ,1,positive
## Nothing fancy just reliable replacement .,, Nothing fancy just reliable replacement .,,0,neutral
## This is a great buy !,, This is a great buy !,,0,neutral
cheap[+1][a] ## I was a little skeptical because of how cheap it was .,cheap[+1][a] , I was a little skeptical because of how cheap it was .,cheap ,1,positive
"screen[+1] ## However , when I plugged it into my Mac Mini , the screen looked wonderful .",screen[+1] ," However , when I plugged it into my Mac Mini , the screen looked wonderful .",screen ,1,positive
colors[+1] ## The colors and everything are great .,colors[+1] , The colors and everything are great .,colors ,1,positive
colors[+1] ## I exchanged this from an LG that I bought for nearly twice as much and the colors on the LG were not at all as nice as this .,colors[+1] , I exchanged this from an LG that I bought for nearly twice as much and the colors on the LG were not at all as nice as this .,colors ,1,positive
"## There is a slight `` halo '' on the edge of the screen when it is showing blacks -LRB- say for instance the black horizontal bars of a movie -RRB- , but during everyday activities -LRB- email , pages , internet .",," There is a slight `` halo '' on the edge of the screen when it is showing blacks -LRB- say for instance the black horizontal bars of a movie -RRB- , but during everyday activities -LRB- email , pages , internet .",,0,neutral
## No other screen adjustments with the PC .,, No other screen adjustments with the PC .,,0,neutral
## etc. -RRB- you do n't notice it at all .,, etc. -RRB- you do n't notice it at all .,,0,neutral
## Especially when you know you paid less than $ 100 for it !,, Especially when you know you paid less than $ 100 for it !,,0,neutral
## I got this monitor to go to a dual monitor config .,, I got this monitor to go to a dual monitor config .,,0,neutral
## My other monitor is a 23 inch ACER .,, My other monitor is a 23 inch ACER .,,0,neutral
"display[+1] ## I thot my original monitor had a good image , but the S201HL has a much brighter display .",display[+1] ," I thot my original monitor had a good image , but the S201HL has a much brighter display .",display ,1,positive
## Everything is brighter and better defined on it .,, Everything is brighter and better defined on it .,,0,neutral
"weight[+1], battery life[+1], keyboard[+1], screen[+1], heat up[+1][v], HDMI output[+1], local HD decoding[+1], audio volume[-1] ## Pros : Low weight , long battery life , decent keyboard , decent screen , does not heat up , HDMI output , flawless local HD decoding Con : low audio volume , just enough CPU power","weight[+1], battery life[+1], keyboard[+1], screen[+1], heat up[+1][v], HDMI output[+1], local HD decoding[+1], audio volume[-1] "," Pros : Low weight , long battery life , decent keyboard , decent screen , does not heat up , HDMI output , flawless local HD decoding Con : low audio volume , just enough CPU power","weight, battery life, keyboard, screen, heat up, HDMI output, local HD decoding, audio volume ",1,positive
switches[-1] ## When it works its fine but I have gone through two monitors now both with defective switches .,switches[-1] , When it works its fine but I have gone through two monitors now both with defective switches .,switches ,-1,negative
## Acer says they will replace it if I ship it back but that costs $ 50.00 .,, Acer says they will replace it if I ship it back but that costs $ 50.00 .,,0,neutral
## I now have a Samsung which is great .,, I now have a Samsung which is great .,,0,neutral
## I bought this to replace an $ 89 2011 holiday special 21.5 '' Acer from Best Buy .,, I bought this to replace an $ 89 2011 holiday special 21.5 '' Acer from Best Buy .,,0,neutral
"monitor[+1] ## This monitor is much , much better but still not great .",monitor[+1] ," This monitor is much , much better but still not great .",monitor ,1,positive
"colors[+1], viewing angle[+1], quality[+1] ## The colors and viewing angle are about average , but a huge upgrade from the truly terrible quality of the other monitor .","colors[+1], viewing angle[+1], quality[+1] "," The colors and viewing angle are about average , but a huge upgrade from the truly terrible quality of the other monitor .","colors, viewing angle, quality ",1,positive
stand[-1] ## My other big complaint about this monitor is the stand .,stand[-1] , My other big complaint about this monitor is the stand .,stand ,-1,negative
monitor[-1] ## It 's flimsy plastic and the monitor bounces around while you type .,monitor[-1] , It 's flimsy plastic and the monitor bounces around while you type .,monitor ,-1,negative
"height adjustability[-1] ## There 's also no height adjustability , so it sits very low to the desk .",height adjustability[-1] ," There 's also no height adjustability , so it sits very low to the desk .",height adjustability ,-1,negative
"## If you use it with a laptop , that might be a plus , but if you use with with an iMac or a taller monitor , you 're going to need some books or something to level them out .",," If you use it with a laptop , that might be a plus , but if you use with with an iMac or a taller monitor , you 're going to need some books or something to level them out .",,0,neutral
monitor[+1] ## Not a bad monitor for $ 120 but it 's nothing special .,monitor[+1] , Not a bad monitor for $ 120 but it 's nothing special .,monitor ,1,positive
"battery life[+1], screen resolution[+1] ## recieved this product in time for a gift giving ... works outstanding good battery life nice screen resolution uses windows 7 which is what the rest of the house uses connectsd to my network easisly","battery life[+1], screen resolution[+1] ", recieved this product in time for a gift giving ... works outstanding good battery life nice screen resolution uses windows 7 which is what the rest of the house uses connectsd to my network easisly,"battery life, screen resolution ",1,positive
"features[+1], performance[+1] ## Overall , I like the system features and performance .","features[+1], performance[+1] "," Overall , I like the system features and performance .","features, performance ",1,positive
convenient[+1][a] ## I love that it is a tablet - it is so much more convenient than a regular laptop .,convenient[+1][a] , I love that it is a tablet - it is so much more convenient than a regular laptop .,convenient ,1,positive
"keyboard[-1] ## There is one very annoying problem with this model though : the keyboard is `` sticky '' - meaning , despite this tablet is brand new and just arrived , when I press and release a key on the keyboard it acts as if I kept it pressed , continuing to type the same character again and again .",keyboard[-1] ," There is one very annoying problem with this model though : the keyboard is `` sticky '' - meaning , despite this tablet is brand new and just arrived , when I press and release a key on the keyboard it acts as if I kept it pressed , continuing to type the same character again and again .",keyboard ,-1,negative
"## Sometimes , when I compose an email and press the `` DEL '' key to delete a character - ooops !",," Sometimes , when I compose an email and press the `` DEL '' key to delete a character - ooops !",,0,neutral
## - it deletes half of the email .,, - it deletes half of the email .,,0,neutral
"## Unfortunately , this problem happens way too often , a few times per day .",," Unfortunately , this problem happens way too often , a few times per day .",,0,neutral
## I did not expect this behavior from a new computer .,, I did not expect this behavior from a new computer .,,0,neutral
"monitor[+1] ## I bought this monitor from computer direct a couple months ago , and I have been very satisfied with it so far .",monitor[+1] ," I bought this monitor from computer direct a couple months ago , and I have been very satisfied with it so far .",monitor ,1,positive
## Some specifics from my purchase experience were : 1 .,, Some specifics from my purchase experience were : 1 .,,0,neutral
"clarity[+1], contrast[+1] ## The clarity and contrast are exactly what I was looking for in a monitor , and spec for spec , it is a bargain compared to other brands .","clarity[+1], contrast[+1] "," The clarity and contrast are exactly what I was looking for in a monitor , and spec for spec , it is a bargain compared to other brands .","clarity, contrast ",1,positive
## 2 .,, 2 .,,0,neutral
shipping[+1] ## The computer direct processing and shipping was outrageously fast .,shipping[+1] , The computer direct processing and shipping was outrageously fast .,shipping ,1,positive
"shipping[+1] ## I ordered it on a Monday afternoon -LRB- around 2 PM -RRB- and with no extra shipping costs , the monitor was at my door in Chicago by the time I got home from work Tuesday .",shipping[+1] ," I ordered it on a Monday afternoon -LRB- around 2 PM -RRB- and with no extra shipping costs , the monitor was at my door in Chicago by the time I got home from work Tuesday .",shipping ,1,positive
## 3 .,, 3 .,,0,neutral
"stand[-1], monitor[-1] ## The stand is by far the most inferior aspect of this monitor .","stand[-1], monitor[-1] ", The stand is by far the most inferior aspect of this monitor .,"stand, monitor ",-1,negative
monitor[-1] ## It will only move the monitor side to side -LRB- no up\/down or tilt feature -RRB- .,monitor[-1] , It will only move the monitor side to side -LRB- no up\/down or tilt feature -RRB- .,monitor ,-1,negative
"view angle[+1] ## However , the view angle on this thing is so big that you will see very clearly on any desk\/viewing situation you normally run across .",view angle[+1] ," However , the view angle on this thing is so big that you will see very clearly on any desk\/viewing situation you normally run across .",view angle ,1,positive
## 4 .,, 4 .,,0,neutral
"## Just in general , make sure your graphics card can handle the native screen resolution on this monitor .",," Just in general , make sure your graphics card can handle the native screen resolution on this monitor .",,0,neutral
## Many computers from 2003 or before may not be able to .,, Many computers from 2003 or before may not be able to .,,0,neutral
## 5 .,, 5 .,,0,neutral
"dead pixels[+1], color bleeding[+1] ## I have seen no dead pixels or color bleeding that I 've heard about with other ACER models","dead pixels[+1], color bleeding[+1] ", I have seen no dead pixels or color bleeding that I 've heard about with other ACER models,"dead pixels, color bleeding ",1,positive
"netbook[+1], fast[+1][a] ## the netbook work as a breeze for my sales person , it worked fine , fast and with the extra ram nothing could stop it , in fact it works better than my own laptop so I will change to this one as soon as possible","netbook[+1], fast[+1][a] "," the netbook work as a breeze for my sales person , it worked fine , fast and with the extra ram nothing could stop it , in fact it works better than my own laptop so I will change to this one as soon as possible","netbook, fast ",1,positive
Acer 19-inch flat screen monitor[+1] ## I am very happy with the Acer 19-inch flat screen monitor which I received for Christmas .,Acer 19-inch flat screen monitor[+1] , I am very happy with the Acer 19-inch flat screen monitor which I received for Christmas .,Acer 19-inch flat screen monitor ,19,positive
"screen[+1] ## Things are much more distinct , and I do n't have to strain my eyes and squint when I am trying to read something on the screen -LRB- like I had to do with my clunky old monitor -RRB- .",screen[+1] ," Things are much more distinct , and I do n't have to strain my eyes and squint when I am trying to read something on the screen -LRB- like I had to do with my clunky old monitor -RRB- .",screen ,1,positive
## AND ... there is now much more room on the top of my desk for me to spread out my work when I am online or pursuing any of my many and varied journalistic endeavors .,, AND ... there is now much more room on the top of my desk for me to spread out my work when I am online or pursuing any of my many and varied journalistic endeavors .,,0,neutral
## Very happy with purchase .,, Very happy with purchase .,,0,neutral
## Monitor doubles as a primary monitor for a Mac G2 as well as a secondary monitor for a Dell Notebook .,, Monitor doubles as a primary monitor for a Mac G2 as well as a secondary monitor for a Dell Notebook .,,0,neutral
"## No problems detected , no flaws noticed .",," No problems detected , no flaws noticed .",,0,neutral
product[+1] ## Just an average user getting good value in this product .,product[+1] , Just an average user getting good value in this product .,product ,1,positive
## I was looking for an upgrade on a monitor .,, I was looking for an upgrade on a monitor .,,0,neutral
## I got a new pc so I wanted a nice size monitor for it without busting me in price .,, I got a new pc so I wanted a nice size monitor for it without busting me in price .,,0,neutral
"## So I came across the acer read some of the reviews andi was a little skeptical , but the price was right .",," So I came across the acer read some of the reviews andi was a little skeptical , but the price was right .",,0,neutral
"picture[+1], colors[+1], weight[+1] ## Hooked it worked like a charm , great picture , bright colors and very light weight .","picture[+1], colors[+1], weight[+1] "," Hooked it worked like a charm , great picture , bright colors and very light weight .","picture, colors, weight ",1,positive
price[+1] ## I 'm very satisfied with it especially for he price .,price[+1] , I 'm very satisfied with it especially for he price .,price ,1,positive
## Did not have a ring around it like other reviews stated .,, Did not have a ring around it like other reviews stated .,,0,neutral
"monitor[+1], price[+1] ## Good monitor for the price .","monitor[+1], price[+1] ", Good monitor for the price .,"monitor, price ",1,positive
## Let me start by saying if I could give this review a -50 stars I wish I could .,, Let me start by saying if I could give this review a -50 stars I wish I could .,,0,neutral
"monitor[-1] ## Maybe some of you do n't have this problem , but I know of over 20 cases of buzzing from this monitor .",monitor[-1] ," Maybe some of you do n't have this problem , but I know of over 20 cases of buzzing from this monitor .",monitor ,-1,negative
"## If you do n't know if yours buzzes , try going to a dark website such as Hardforum.com at 120Hz and see if the back of your monitor buzzes .",," If you do n't know if yours buzzes , try going to a dark website such as Hardforum.com at 120Hz and see if the back of your monitor buzzes .",,0,neutral
"service[-1], support[-1] ## Anyways , back to the point : I 've tried to be so calm over the past month of dealing with Acer and their terrible service and support .","service[-1], support[-1] "," Anyways , back to the point : I 've tried to be so calm over the past month of dealing with Acer and their terrible service and support .","service, support ",-1,negative
monitor[-1] ## I sent my monitor in to Acer for repairs for such a small but very problematic problem of random Buzzing from my Acer GD235Hz monitor .,monitor[-1] , I sent my monitor in to Acer for repairs for such a small but very problematic problem of random Buzzing from my Acer GD235Hz monitor .,monitor ,-1,negative
## When I finally got my monitor back from repairs I was given an `` we could not find the problem '' letter .,, When I finally got my monitor back from repairs I was given an `` we could not find the problem '' letter .,,0,neutral
## I was pissed that they could not find it and even more mad that they did not even bother to tell me before shipping it out .,, I was pissed that they could not find it and even more mad that they did not even bother to tell me before shipping it out .,,0,neutral
## Angry that they did not even read the information that I had given on how to duplicate the problem .,, Angry that they did not even read the information that I had given on how to duplicate the problem .,,0,neutral
"chat support[-1], repair technicians[-1] ## You can blame the bad chat support or the repair technicians for that because I gave all the information I could .","chat support[-1], repair technicians[-1] ", You can blame the bad chat support or the repair technicians for that because I gave all the information I could .,"chat support, repair technicians ",-1,negative
## So I just asked Acer to repair it a second time .,, So I just asked Acer to repair it a second time .,,0,neutral
## So when they received the monitor I was very happy that this time that they actually were able to find the problem .,, So when they received the monitor I was very happy that this time that they actually were able to find the problem .,,0,neutral
## It took them a total of 5 or so days to repair it and ship it back to me .,, It took them a total of 5 or so days to repair it and ship it back to me .,,0,neutral
## Great .,, Great .,,0,neutral
"## But when I finally got the monitor back , it still had the same issue and it also came back scratched on the bezel too .",," But when I finally got the monitor back , it still had the same issue and it also came back scratched on the bezel too .",,0,neutral
## Let me tell you that the monitor was in PERFECT cosmetic condition .,, Let me tell you that the monitor was in PERFECT cosmetic condition .,,0,neutral
## Now I am very angry .,, Now I am very angry .,,0,neutral
repair team[-1] ## I should 've trusted all the online comments about the terrible repair team of Acer .,repair team[-1] , I should 've trusted all the online comments about the terrible repair team of Acer .,repair team ,-1,negative
"## I told myself it could not be that bad , but it obviously was .",," I told myself it could not be that bad , but it obviously was .",,0,neutral
## I would never ever even think about recommending or buying another Acer product in my life again .,, I would never ever even think about recommending or buying another Acer product in my life again .,,0,neutral
"## Please treat your customers with respect , Acer .",," Please treat your customers with respect , Acer .",,0,neutral
repair technicians[-1] ## You guys need to hire new repair technicians because the ones that are in the repair center obviously have no idea what they are doing .,repair technicians[-1] , You guys need to hire new repair technicians because the ones that are in the repair center obviously have no idea what they are doing .,repair technicians ,-1,negative
## I got this montior for $ 199.00 -LRB- with $ 50.00 rebate -RRB- .,, I got this montior for $ 199.00 -LRB- with $ 50.00 rebate -RRB- .,,0,neutral
## I am in the computer business and could n't get it at this price from any of my suppliers .,, I am in the computer business and could n't get it at this price from any of my suppliers .,,0,neutral
"## I expected it to be quite good , the specs were where they should be contrat , response time , etc. .",," I expected it to be quite good , the specs were where they should be contrat , response time , etc. .",,0,neutral
## I was not disappointed .,, I was not disappointed .,,0,neutral
## I was impressed .,, I was impressed .,,0,neutral
